date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-01-01',68.839,63.132,5.707,0.000,10.000,10.000,10.000,0.000
'2009-01-02',61.850,29.834,8.718,0.000,9.767,3.041,14.782,0.000
'2009-01-03',37.401,0.000,10.267,0.000,10.356,0.000,17.409,0.000
'2009-01-04',16.457,0.000,9.956,0.000,10.258,0.000,16.882,0.000
'2009-01-05',11.399,0.000,9.709,0.000,10.617,0.000,16.463,0.000
'2009-01-06',10.267,0.000,10.436,0.000,19.594,0.000,17.696,0.000
'2009-01-07',10.670,0.000,11.617,0.000,24.455,0.000,19.698,0.000
'2009-01-08',11.591,0.000,12.451,0.000,26.749,0.000,21.112,0.000
'2009-01-09',12.298,0.000,12.649,0.000,27.195,0.000,21.449,0.000
'2009-01-10',12.529,0.000,12.479,0.000,26.772,0.000,21.161,0.000
'2009-01-11',12.448,0.000,12.294,0.000,26.396,0.000,20.846,0.000
'2009-01-12',12.259,0.000,11.987,0.000,25.777,0.000,20.326,0.000
'2009-01-13',12.108,0.000,12.239,0.000,26.372,0.000,20.753,0.000
'2009-01-14',12.128,0.000,11.891,0.000,25.799,0.000,20.163,0.000
'2009-01-15',11.921,0.000,11.785,0.000,25.694,0.000,19.982,0.000
'2009-01-16',11.853,0.000,11.943,0.000,26.348,0.000,20.251,0.000
'2009-01-17',12.373,0.000,13.898,0.000,30.689,0.000,23.566,0.000
'2009-01-18',13.662,0.000,14.401,0.000,31.494,0.000,24.418,0.000
'2009-01-19',14.696,0.000,16.417,0.000,33.873,0.000,27.838,0.000
'2009-01-20',16.008,0.000,16.366,0.000,33.760,0.000,27.750,0.000
'2009-01-21',16.169,0.000,15.873,0.000,32.864,0.000,26.915,0.000
'2009-01-22',15.848,0.000,15.470,0.000,32.265,0.000,26.231,0.000
'2009-01-23',31.023,64.506,17.981,0.000,42.365,6.575,30.490,0.000
'2009-01-24',58.903,11.341,20.412,0.000,41.409,1.156,34.612,0.000
'2009-01-25',35.458,0.000,20.655,0.000,40.332,0.000,35.024,0.000
'2009-01-26',23.927,0.000,20.029,0.000,38.920,0.000,33.962,0.000
'2009-01-27',20.807,0.000,19.503,0.000,37.664,0.000,33.070,0.000
'2009-01-28',19.884,0.000,19.850,0.000,37.171,0.000,33.658,0.000
'2009-01-29',19.942,0.000,20.217,0.000,36.586,0.000,34.281,0.000
'2009-01-30',36.506,68.500,22.576,0.000,43.214,6.982,38.281,0.000
'2009-01-31',70.519,31.709,24.859,0.000,42.664,3.232,42.152,0.000
'2009-02-01',77.674,107.007,27.068,0.000,46.251,10.907,45.897,0.000
'2009-02-02',105.473,37.330,29.206,0.000,44.896,3.805,49.523,0.000
'2009-02-03',67.208,0.000,30.508,0.000,43.362,0.000,51.731,0.000
'2009-02-04',39.024,0.000,30.711,0.000,41.825,0.000,52.075,0.000
'2009-02-05',32.423,0.000,29.816,0.000,40.216,0.000,50.558,0.000
'2009-02-06',30.641,0.000,30.782,0.000,39.728,0.000,52.196,0.000
'2009-02-07',30.656,0.000,30.376,0.000,38.818,0.000,51.506,0.000
'2009-02-08',30.355,0.000,30.008,0.000,37.995,0.000,50.882,0.000
'2009-02-09',29.898,0.000,29.185,0.000,36.995,0.000,49.488,0.000
'2009-02-10',29.582,0.000,30.191,0.000,37.169,0.000,51.193,0.000
'2009-02-11',29.879,0.000,29.448,0.000,36.127,0.000,49.932,0.000
'2009-02-12',29.972,0.000,31.287,0.000,37.492,0.000,53.052,0.000
'2009-02-13',30.824,0.000,30.595,0.000,36.421,0.000,51.878,0.000
'2009-02-14',32.023,3.938,32.619,0.000,38.293,0.401,55.310,0.000
'2009-02-15',34.622,0.000,32.707,0.000,38.112,0.000,55.460,0.000
'2009-02-16',33.061,0.000,32.323,0.000,37.600,0.000,54.808,0.000
'2009-02-17',32.293,0.000,31.458,0.000,36.812,0.000,53.341,0.000
'2009-02-18',31.425,0.000,30.482,0.000,35.491,0.000,51.687,0.000
'2009-02-19',30.730,0.000,30.613,0.000,35.036,0.000,51.908,0.000
'2009-02-20',30.463,0.000,29.848,0.000,34.355,0.000,50.612,0.000
'2009-02-21',29.911,0.000,29.506,0.000,33.929,0.000,50.031,0.000
'2009-02-22',29.414,0.000,28.704,0.000,32.856,0.000,48.672,0.000
'2009-02-23',28.680,0.000,27.887,0.000,31.845,0.000,47.287,0.000
'2009-02-24',28.471,0.000,29.624,0.000,33.792,0.000,50.231,0.000
'2009-02-25',29.297,0.000,29.359,0.000,33.441,0.000,49.782,0.000
'2009-02-26',29.154,0.000,28.535,0.000,32.689,0.000,48.385,0.000
'2009-02-27',28.628,0.000,28.320,0.000,32.495,0.000,48.020,0.000
'2009-02-28',28.249,0.000,27.704,0.000,31.802,0.000,46.975,0.000
'2009-03-01',27.694,0.000,27.116,0.000,30.901,0.000,45.979,0.000
'2009-03-02',27.105,0.000,26.489,0.000,30.128,0.000,44.915,0.000
'2009-03-03',27.144,0.068,28.645,0.000,33.714,0.007,48.572,0.000
'2009-03-04',28.354,0.000,28.726,0.000,33.981,0.000,48.708,0.000
'2009-03-05',28.435,0.000,27.840,0.000,33.175,0.000,47.206,0.000
'2009-03-06',27.806,0.000,27.098,0.000,31.915,0.000,45.948,0.000
'2009-03-07',27.204,0.000,26.850,0.000,31.519,0.000,45.527,0.000
'2009-03-08',26.734,0.000,25.993,0.000,30.098,0.000,44.075,0.000
'2009-03-09',26.087,0.000,25.660,0.000,29.712,0.000,43.509,0.000
'2009-03-10',25.584,0.000,24.905,0.000,28.577,0.000,42.231,0.000
'2009-03-11',24.891,0.000,24.164,0.000,27.509,0.000,40.974,0.000
'2009-03-12',24.360,0.000,24.284,0.000,28.246,0.000,41.178,0.000
'2009-03-13',24.383,0.000,24.635,0.000,29.356,0.000,41.772,0.000
'2009-03-14',24.443,0.000,24.056,0.000,29.215,0.000,40.791,0.000
'2009-03-15',24.556,0.000,25.834,0.000,32.185,0.000,43.804,0.000
'2009-03-16',25.738,0.000,26.700,0.000,33.174,0.000,45.273,0.000
'2009-03-17',26.377,0.000,26.262,0.000,32.641,0.000,44.530,0.000
'2009-03-18',26.464,0.000,27.025,0.000,33.778,0.000,45.824,0.000
'2009-03-19',27.224,0.000,28.450,0.000,35.430,0.000,48.241,0.000
'2009-03-20',27.998,0.000,27.716,0.000,34.937,0.000,46.997,0.000
'2009-03-21',28.567,1.289,29.833,0.000,36.679,0.131,50.587,0.000
'2009-03-22',30.204,0.000,29.697,0.000,36.146,0.000,50.355,0.000
'2009-03-23',30.711,1.837,31.750,0.000,37.902,0.187,53.836,0.000
'2009-03-24',32.337,0.000,31.046,0.000,36.895,0.000,52.642,0.000
'2009-03-25',32.438,2.735,33.055,0.000,38.429,0.279,56.050,0.000
'2009-03-26',34.707,0.000,34.447,0.000,38.627,0.000,58.409,0.000
'2009-03-27',40.065,22.186,36.347,0.000,40.972,2.261,61.631,0.000
'2009-03-28',65.737,70.031,38.186,0.000,44.257,7.138,64.749,0.000
'2009-03-29',106.891,104.985,39.965,0.000,45.879,10.701,67.767,0.000
'2009-03-30',121.701,40.574,41.688,0.000,44.457,4.136,70.687,0.000
'2009-03-31',95.937,58.727,43.354,0.000,44.755,5.986,73.513,0.000
'2009-04-01',97.693,44.240,44.967,0.000,44.742,4.509,76.248,0.000
'2009-04-02',100.350,82.481,46.528,0.000,45.906,8.407,78.895,0.000
'2009-04-03',108.904,22.508,48.039,0.000,44.370,2.294,81.457,0.000
'2009-04-04',74.186,0.000,47.959,0.000,43.098,0.000,81.322,0.000
'2009-04-05',53.658,0.000,46.427,0.000,41.309,0.000,78.723,0.000
'2009-04-06',47.752,0.000,44.940,0.000,39.512,0.000,76.202,0.000
'2009-04-07',45.320,0.000,43.774,0.000,38.133,0.000,74.224,0.000
'2009-04-08',54.408,42.937,45.373,0.000,41.973,4.376,76.936,0.000
'2009-04-09',70.837,0.000,46.494,0.000,41.420,0.000,78.838,0.000
'2009-04-10',52.100,0.000,46.444,0.000,40.567,0.000,78.752,0.000
'2009-04-11',63.192,65.407,47.957,0.000,44.101,6.667,81.318,0.000
'2009-04-12',110.811,103.049,49.422,0.000,45.342,10.504,83.802,0.000
'2009-04-13',127.279,34.128,50.839,0.000,43.753,3.479,86.205,0.000
'2009-04-14',87.038,0.000,51.627,0.000,42.558,0.000,87.540,0.000
'2009-04-15',65.036,21.348,52.973,0.000,43.426,2.176,89.823,0.000
'2009-04-16',67.148,0.000,52.521,0.000,41.276,0.000,89.057,0.000
'2009-04-17',55.510,0.000,50.847,0.000,39.681,0.000,86.218,0.000
'2009-04-18',51.548,0.000,49.223,0.000,38.299,0.000,83.465,0.000
'2009-04-19',49.418,0.000,47.743,0.000,36.862,0.000,80.954,0.000
'2009-04-20',47.775,0.000,46.209,0.000,35.304,0.000,78.354,0.000
'2009-04-21',46.357,0.000,45.284,0.000,34.411,0.000,76.785,0.000
'2009-04-22',45.194,0.000,43.824,0.000,33.646,0.000,74.310,0.000
'2009-04-23',43.827,0.000,42.466,0.000,32.339,0.000,72.007,0.000
'2009-04-24',46.217,13.253,44.108,0.000,36.154,1.351,74.791,0.000
'2009-04-25',51.589,0.000,43.497,0.000,34.693,0.000,73.756,0.000
'2009-04-26',45.064,0.000,42.192,0.000,33.600,0.000,71.543,0.000
'2009-04-27',42.543,0.000,40.840,0.000,32.576,0.000,69.250,0.000
'2009-04-28',40.937,0.000,39.559,0.000,31.159,0.000,67.078,0.000
'2009-04-29',39.630,0.000,38.486,0.000,30.310,0.000,65.258,0.000
'2009-04-30',43.134,17.231,40.255,0.000,36.409,1.756,68.259,0.000
'2009-05-01',50.137,0.000,39.990,0.000,35.512,0.000,67.809,0.000
'2009-05-02',54.904,52.760,41.712,0.000,41.475,5.378,70.728,0.000
'2009-05-03',100.631,117.351,43.378,0.000,45.325,11.961,73.553,0.000
'2009-05-04',132.439,53.250,44.990,0.000,44.305,5.428,76.287,0.000
'2009-05-05',95.127,4.001,46.550,0.000,42.949,0.408,78.932,0.000
'2009-05-06',60.066,0.000,47.207,0.000,42.174,0.000,80.046,0.000
'2009-05-07',51.198,2.945,48.696,0.000,42.115,0.300,82.571,0.000
'2009-05-08',50.928,0.000,48.994,0.000,41.444,0.000,83.076,0.000
'2009-05-09',49.092,0.000,47.484,0.000,40.129,0.000,80.516,0.000
'2009-05-10',47.509,0.000,45.984,0.000,38.316,0.000,77.972,0.000
'2009-05-11',46.055,0.000,44.768,0.000,36.313,0.000,75.911,0.000
'2009-05-12',44.809,0.000,43.659,0.000,35.169,0.000,74.031,0.000
'2009-05-13',45.794,6.495,45.263,0.000,37.352,0.662,76.749,0.000
'2009-05-14',48.639,0.000,44.209,0.000,36.248,0.000,74.963,0.000
'2009-05-15',44.909,0.000,42.809,0.000,34.853,0.000,72.588,0.000
'2009-05-16',43.041,0.000,41.717,0.000,33.985,0.000,70.737,0.000
'2009-05-17',42.076,0.000,41.948,0.000,34.368,0.000,71.129,0.000
'2009-05-18',41.707,0.000,40.773,0.000,33.306,0.000,69.137,0.000
'2009-05-19',40.715,0.000,39.589,0.000,32.250,0.000,67.128,0.000
'2009-05-20',39.554,0.000,38.313,0.000,31.164,0.000,64.965,0.000
'2009-05-21',38.314,0.000,37.078,0.000,30.211,0.000,62.871,0.000
'2009-05-22',37.087,0.000,35.883,0.000,29.270,0.000,60.844,0.000
'2009-05-23',35.894,0.000,34.726,0.000,28.118,0.000,58.883,0.000
'2009-05-24',34.738,0.000,33.611,0.000,27.119,0.000,56.992,0.000
'2009-05-25',33.854,0.000,33.538,0.000,28.039,0.000,56.868,0.000
'2009-05-26',33.365,0.000,32.473,0.000,27.004,0.000,55.062,0.000
'2009-05-27',32.440,0.000,31.438,0.000,25.840,0.000,53.307,0.000
